[2020-12-25 11:53:54,005] INFO [unify_service] [C:\Users\CSC\Desktop\unificater\Unificater-Backend\service\util\db_utils.py.get_mongod_connection():12] Creating MongoDB connection
[2020-12-25 11:53:54,233] INFO [unify_service] [C:\Users\CSC\Desktop\unificater\Unificater-Backend\service\util\db_utils.py.get_mongod_connection():21] MongoDB connection closed
[2020-12-25 11:54:54,449] INFO [unify_service] [C:\Users\CSC\Desktop\unificater\Unificater-Backend\service\impl\master_json.py.get_flow():23] Get flow
[2020-12-25 11:54:54,450] INFO [unify_service] [C:\Users\CSC\Desktop\unificater\Unificater-Backend\service\util\db_utils.py.get_mongod_connection():12] Creating MongoDB connection
[2020-12-25 11:54:54,514] INFO [unify_service] [C:\Users\CSC\Desktop\unificater\Unificater-Backend\service\util\db_utils.py.get_mongod_connection():21] MongoDB connection closed
[2020-12-25 11:55:08,734] INFO [unify_service] [C:\Users\CSC\Desktop\unificater\Unificater-Backend\service\impl\master_json.py.get_flow():23] Get flow
[2020-12-25 11:55:08,781] INFO [unify_service] [C:\Users\CSC\Desktop\unificater\Unificater-Backend\service\util\db_utils.py.get_mongod_connection():12] Creating MongoDB connection
[2020-12-25 11:55:08,953] INFO [unify_service] [C:\Users\CSC\Desktop\unificater\Unificater-Backend\service\util\db_utils.py.get_mongod_connection():21] MongoDB connection closed
[2020-12-25 11:55:40,953] INFO [unify_service] [C:\Users\CSC\Desktop\unificater\Unificater-Backend\service\impl\master_json.py.get_flow():23] Get flow
[2020-12-25 11:55:40,976] INFO [unify_service] [C:\Users\CSC\Desktop\unificater\Unificater-Backend\service\util\db_utils.py.get_mongod_connection():12] Creating MongoDB connection
[2020-12-25 11:55:41,143] INFO [unify_service] [C:\Users\CSC\Desktop\unificater\Unificater-Backend\service\util\db_utils.py.get_mongod_connection():21] MongoDB connection closed
[2020-12-25 11:56:28,149] INFO [unify_service] [C:\Users\CSC\Desktop\unificater\Unificater-Backend\service\impl\master_json.py.get_flow():23] Get flow
[2020-12-25 11:56:28,206] INFO [unify_service] [C:\Users\CSC\Desktop\unificater\Unificater-Backend\service\util\db_utils.py.get_mongod_connection():12] Creating MongoDB connection
[2020-12-25 11:56:28,498] INFO [unify_service] [C:\Users\CSC\Desktop\unificater\Unificater-Backend\service\util\db_utils.py.get_mongod_connection():21] MongoDB connection closed
[2020-12-25 12:00:58,084] INFO [unify_service] [C:\Users\CSC\Desktop\unificater\Unificater-Backend\service\impl\single_file_impl.py.single_file_browser():21] single file browser
[2020-12-25 12:01:09,737] INFO [unify_service] [C:\Users\CSC\Desktop\unificater\Unificater-Backend\service\util\db_utils.py.get_mongod_connection():12] Creating MongoDB connection
[2020-12-25 12:01:10,371] INFO [unify_service] [C:\Users\CSC\Desktop\unificater\Unificater-Backend\service\util\db_utils.py.get_mongod_connection():21] MongoDB connection closed
